,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
135,ORA.PA,Orange S.A. (ENXTPA:ORA),-1.93%,10.15,10.35,1.43,8641743,6024400.05
137,ORP.PA,Orpea SA (ENXTPA:ORP),-2.08%,10.07,10.29,1.12,401066,358543.60
138,OSE.PA,OSE Immunotherapeutics SA (ENXTPA:OSE),-0.85%,6.99,7.05,1.37,224546,164080.19
139,OVH.PA,OVH Groupe S.A. (ENXTPA:OVH),-6.21%,5.36,5.72,1.79,171265,95727.57
140,PEUG.PA,Peugeot Invest Société anonyme (ENXTPA:PEUG),-2.48%,78.60,80.60,1.22,6803,5581.05
141,PHXM.PA,PHAXIAM Therapeutics S.A. (ENXTPA:PHXM),-3.65%,1.85,1.92,2.02,8560,4233.48
142,PIG.PA,Haulotte Group SA (ENXTPA:PIG),-3.18%,2.74,2.83,2.35,21413,9111.19
143,PLX.PA,Pluxee N.V. (ENXTPA:PLX),-5.06%,19.43,20.47,1.07,197390,184232.29
144,POXEL.PA,Poxel S.A. (ENXTPA:POXEL),0.17%,0.58,0.58,1.16,339546,292673.71
145,PRC.PA,Artmarket.com (ENXTPA:PRC),-6.49%,4.32,4.62,1.15,4647,4052.29
146,PUB.PA,Publicis Groupe S.A. (ENXTPA:PUB),-2.16%,88.96,90.92,1.05,503924,479653.14
147,PVL.PA,Plastiques du Val de Loire (ENXTPA:PVL),0.56%,1.80,1.79,0.62,14359,23092.43
148,PWG.PA,Prodways Group SA (ENXTPA:PWG),-3.65%,0.50,0.52,0.63,9434,14954.71
149,QDT.PA,Quadient S.A. (ENXTPA:QDT),0.41%,17.00,16.93,1.80,56886,31645.95
150,RCO.PA,Rémy Cointreau SA (ENXTPA:RCO),0.35%,72.25,72.00,1.08,104527,96590.10
151,RF.PA,Eurazeo SE (ENXTPA:RF),-2.53%,65.50,67.20,2.04,179898,88124.48
152,RI.PA,Pernod Ricard SA (ENXTPA:RI),-0.49%,122.55,123.15,1.32,569303,430442.24
153,RMS.PA,Hermès International Société en commandite par actions (ENXTPA:RMS),-0.38%,1953.00,1960.50,1.37,86498,63217.67
154,RNO.PA,Renault SA (ENXTPA:RNO),-3.84%,40.27,41.88,2.31,2368298,1023135.95
155,RUI.PA,Rubis (ENXTPA:RUI),-8.09%,26.14,28.44,3.83,492685,128728.19
156,RXL.PA,Rexel S.A. (ENXTPA:RXL),-1.26%,21.22,21.49,1.63,1002686,614917.29
157,S30.PA,Solutions 30 SE (ENXTPA:S30),-6.72%,1.33,1.43,2.01,1045515,519261.14
158,SAF.PA,Safran SA (ENXTPA:SAF),-1.23%,188.80,191.15,1.24,656228,527240.14
159,SAN.PA,Sanofi (ENXTPA:SAN),-1.98%,94.25,96.15,1.23,1805072,1469259.67
160,SCHP.PA,Séché Environnement SA (ENXTPA:SCHP),-3.44%,95.30,98.70,1.20,4162,3480.33
161,SCR.PA,SCOR SE (ENXTPA:SCR),-4.80%,17.44,18.32,1.28,1386900,1086644.43
162,SEFER.PA,SergeFerrari Group SA (ENXTPA:SEFER),-1.90%,5.69,5.80,3.50,11616,3318.81
163,SESG.PA,SES S.A. (ENXTPA:SESG),-1.81%,4.45,4.53,1.32,608559,460380.19
164,SGO.PA,Compagnie de Saint-Gobain S.A. (ENXTPA:SGO),-1.55%,72.54,73.68,1.66,1499214,904855.29
165,SIGHT.PA,GenSight Biologics S.A. (ENXTPA:SIGHT),-2.00%,0.29,0.30,0.44,66731,152494.52
166,SK.PA,SEB SA (ENXTPA:SK),-2.07%,87.55,89.40,1.45,69936,48351.86
167,SMCP.PA,SMCP S.A. (ENXTPA:SMCP),-6.70%,1.88,2.02,1.76,357234,202809.90
168,SOI.PA,Soitec SA (ENXTPA:SOI),-2.36%,111.60,114.30,1.64,143970,88052.81
169,SOLB.BR,Solvay SA (ENXTBR:SOLB),-2.98%,29.94,30.86,2.19,473460,216338.62
170,SOP.PA,Sopra Steria Group SA (ENXTPA:SOP),-4.46%,162.80,170.40,2.43,103551,42580.05
171,SPIE.PA,SPIE SA (ENXTPA:SPIE),-1.64%,33.50,34.06,1.10,240670,219586.43
172,SRP.PA,SRP Groupe S.A. (ENXTPA:SRP),-6.07%,0.77,0.82,1.19,28920,24334.29
173,STLAP.PA,Stellantis N.V. (ENXTPA:STLAP),-2.67%,14.30,14.69,1.60,5260055,3289738.81
174,STMPA.PA,STMicroelectronics N.V. (ENXTPA:STMPA),-4.08%,26.78,27.92,2.25,5703253,2535554.19
175,SU.PA,Schneider Electric S.E. (ENXTPA:SU),-0.86%,201.75,203.50,1.77,1425993,807772.57
176,SW.PA,Sodexo S.A. (ENXTPA:SW),-0.06%,85.75,85.80,0.88,198776,225482.90
177,TE.PA,Technip Energies N.V. (ENXTPA:TE),-3.59%,19.90,20.64,2.86,981578,343053.76
178,TEP.PA,Teleperformance SE (ENXTPA:TEP),-5.43%,104.55,110.55,1.51,372673,247381.24
179,TFI.PA,TF1 SA (ENXTPA:TFI),-2.70%,7.75,7.97,1.42,151538,106433.71
180,TOUP.PA,Touax SCA (ENXTPA:TOUP),-6.86%,4.75,5.10,2.11,14428,6822.19
181,TRI.PA,Trigano S.A. (ENXTPA:TRI),-1.06%,103.00,104.10,1.01,20532,20294.71
182,TTE.PA,TotalEnergies SE (ENXTPA:TTE),-2.68%,59.50,61.14,1.65,5144823,3115300.48
183,UBI.PA,Ubisoft Entertainment SA (ENXTPA:UBI),-2.12%,17.11,17.49,0.95,548674,577516.67
184,URW.PA,Unibail-Rodamco-Westfield SE (ENXTPA:URW),-2.38%,65.72,67.32,1.17,494152,421662.81
185,VAC.PA,Pierre et Vacances SA (ENXTPA:VAC),-2.12%,1.29,1.32,1.57,313452,199488.24
186,VANTI.PA,Vantiva S.A. (ENXTPA:VANTI),-3.03%,0.10,0.11,0.98,163699,167433.48
187,VCT.PA,Vicat S.A. (ENXTPA:VCT),-2.07%,30.75,31.40,1.76,39824,22625.29
188,VIE.PA,Veolia Environnement SA (ENXTPA:VIE),-3.81%,27.23,28.31,1.99,3412045,1713991.48
189,VIRI.PA,Viridien Société anonyme (ENXTPA:VIRI),-1.49%,41.38,42.00,1.68,79161,47177.43
190,VIRP.PA,Virbac SA (ENXTPA:VIRP),-1.47%,334.00,339.00,1.00,3611,3594.19
191,VIV.PA,Vivendi SE (ENXTPA:VIV),-1.64%,9.24,9.40,1.03,3164492,3081225.00
192,VK.PA,Vallourec S.A. (ENXTPA:VK),-2.67%,13.47,13.84,1.64,949799,579239.76
193,VLA.PA,Valneva SE (ENXTPA:VLA),-3.87%,3.03,3.15,2.13,705153,331323.24
194,VLTSA.PA,Voltalia SA (ENXTPA:VLTSA),-5.71%,9.58,10.16,1.76,147305,83550.10
195,VMX.PA,Verimatrix SA (ENXTPA:VMX),-3.06%,0.35,0.36,2.42,69983,28877.90
196,VRLA.PA,Verallia Société Anonyme (ENXTPA:VRLA),1.23%,26.44,26.12,1.24,402007,322913.24
197,VU.PA,VusionGroup S.A. (ENXTPA:VU),0.24%,126.90,126.60,1.42,32475,22893.95
198,WAVE.PA,Wavestone SA (ENXTPA:WAVE),-0.19%,51.30,51.40,1.40,14147,10072.48
199,WLN.PA,Worldline SA (ENXTPA:WLN),-4.88%,7.91,8.32,2.21,3000716,1357667.52
200,XFAB.PA,X-FAB Silicon Foundries SE (ENXTPA:XFAB),-1.38%,5.37,5.45,1.73,323361,187325.24
